SIGN ID,LOCATION DESCRIPTION,LIMIT,LATITUDE,LONGITUDE
24139,ABATTOIR ROAD,60,-37.05636,142.763452
24140,ABATTOIR ROAD,80,-37.054259,142.754307
7886,ABBOTSFORD STREET,50,-37.805516,144.944998
7890,ABBOTSFORD STREET,50,-37.797675,144.946411
7887,ABBOTSFORD STREET,50,-37.803993,144.945282
7888,ABBOTSFORD STREET,50,-37.80207,144.945625
7889,ABBOTSFORD STREET,50,-37.800142,144.94597
61723,ABBOTSFORD AVENUE,40,-37.880868,145.079586
63133,ABBOTT ROAD,60,-38.008897,145.262714
53298,ABBOTT ROAD,60,-38.007663,145.256811
53299,ABBOTT ROAD,60,-38.010051,145.268922
53262,ABBOTT STREET,50,-37.948935,145.005372
53264,ABBOTT STREET,50,-37.9502,145.015801
63094,ABBOTT STREET,50,-37.949376,145.008833
63095,ABBOTT STREET,50,-37.950839,145.0212
53612,ABBOTTS ROAD,70,-38.032438,145.218194
53613,ABBOTTS ROAD,70,-38.03215,145.215893
80300,ABBOTTS ROAD,70,-38.03476,145.236933
80313,ABBOTTS ROAD,70,-38.033031,145.222927
80314,ABBOTTS ROAD,70,-38.034068,145.231285
1468,ABECKETT STREET,40,-37.867528,145.000026
53471,ABECKETT ROAD,40,-37.977781,145.316069
63625,ABECKETT ROAD,60,-37.977007,145.315176
63626,ABECKETT ROAD,40,-37.97809,145.316543
63633,ABECKETT ROAD,80,-37.982031,145.336641
66725,ABECKETT ROAD,80,-38.089874,145.739023
66727,ABECKETT ROAD,80,-38.088337,145.741536
53474,ABECKETT ROAD,60,-37.979455,145.326044
55596,ABECKETT ROAD,60,-38.094763,145.727551
63627,ABECKETT ROAD,60,-37.978703,145.318935
63629,ABECKETT ROAD,60,-37.978818,145.31998
63632,ABECKETT ROAD,80,-37.980176,145.332898
63634,ABECKETT ROAD,80,-37.982802,145.338487
63636,ABECKETT ROAD,80,-37.982839,145.343194
63639,ABECKETT ROAD,80,-37.980997,145.352575
63622,ABECKETT ROAD,40,-37.978269,145.316467
53469,ABECKETT ROAD,40,-37.978187,145.314778
21696,ABELS ROAD,60,-38.170566,147.087249
83399,ABELS ROAD,80,-38.169759,147.080566
56584,ABERCROMBIE STREET,40,-37.807855,145.06147
68282,ABERCROMBIE STREET,50,-37.808113,145.063631
13841,ABERDEEN GROVE,50,-37.774137,144.990598
12298,ABERDEEN STREET,50,-37.755381,144.900832
12412,ABERDEEN CRESCENT,40,-37.755065,144.900894
12285,ABERFELDIE STREET,50,-37.758307,144.905676
12284,ABERFELDIE STREET,40,-37.756152,144.906099
43058,ABERLINE ROAD,60,-38.375306,142.51575
43037,ABERLINE ROAD,60,-38.369927,142.516704
43036,ABERLINE ROAD,60,-38.366529,142.517333
43031,ABERLINE ROAD,80,-38.360381,142.518503
43030,ABERLINE ROAD,80,-38.35933,142.518734
100873,ABERLINE ,60,-38.363993,142.517809
100874,ABERLINE ,60,-38.363104,142.517976
43057,ABERLINE ROAD,60,-38.372039,142.51633
